,region_sede,Universidades Estatales CRUCH,Universidades Privadas,Universidades Privadas CRUCH
0,Arica y Parinacota,40.0,60.0,0.0
1,Tarapacá,40.0,60.0,0.0
2,Antofagasta,22.22222222222222,66.66666666666666,11.11111111111111
3,Atacama,33.33333333333333,66.66666666666666,0.0
4,Coquimbo,11.11111111111111,77.77777777777779,11.11111111111111
5,Valparaíso,18.181818181818183,63.63636363636363,18.181818181818183
6,Metropolitana,21.052631578947366,63.1578947368421,15.789473684210526
7,Lib. Gral B. O'Higgins,40.0,60.0,0.0
8,Maule,14.285714285714285,71.42857142857143,14.285714285714285
9,Ñuble,12.5,62.5,25.0
10,Biobío,8.333333333333332,66.66666666666666,25.0
11,La Araucanía,20.0,60.0,20.0
12,Los Ríos,0.0,75.0,25.0
13,Los Lagos,16.666666666666664,66.66666666666666,16.666666666666664
14,Aysén,50.0,25.0,25.0
15,Magallanes,50.0,50.0,0.0
